video_id,published_at,viewCount,likeCount,commentCount,Ad_Type,category,year,full_url,thumbnail_url,video_age_days,likes_views_ratio,comment_velocity,engagement_rate
At1z5CfEwgY,2025-11-03 13:32:03,67209,1103,173,non ai-generated commercial,non_ai,2025.0,https://www.youtube.com/watch?v=At1z5CfEwgY,https://img.youtube.com/vi/At1z5CfEwgY/maxresdefault.jpg,38.426148070694445,0.01641149250844381,4.502142647285997,0.01898555253016709
oOEB13WVbf4,2023-11-29 02:14:35,25805311,4955,332,non ai-generated commercial,non_ai,2023.0,https://www.youtube.com/watch?v=oOEB13WVbf4,https://img.youtube.com/vi/oOEB13WVbf4/maxresdefault.jpg,743.8966110336575,0.00019201473681134865,0.44629857842567683,0.00020488030545340067
BtD4fHgkrqI,2024-11-15 16:00:51,398646,2212,1674,ai-generated commercial,ai,2024.0,https://www.youtube.com/watch?v=BtD4fHgkrqI,https://img.youtube.com/vi/BtD4fHgkrqI/maxresdefault.jpg,391.32281473736117,0.005548782629199841,4.277798116942187,0.009747996969742578
Yy6fByUmPuE,2025-11-03 13:31:39,1622072,11210,9254,ai-generated commercial,ai,2025.0,https://www.youtube.com/watch?v=Yy6fByUmPuE,https://img.youtube.com/vi/Yy6fByUmPuE/maxresdefault.jpg,38.42642584847222,0.0069109139421677955,240.82385482562194,0.012615962793266884
6nB9VaDDDTw,2024-11-18 00:06:16,263059,12343,2225,reaction video,reaction,2024.0,https://www.youtube.com/watch?v=6nB9VaDDDTw,https://img.youtube.com/vi/6nB9VaDDDTw/maxresdefault.jpg,388.9857198299537,0.046921032924172906,5.720004325538391,0.055379211507684586
ChwmjdqGABM,2024-11-24 22:08:30,885,10,8,reaction video,reaction,2024.0,https://www.youtube.com/watch?v=ChwmjdqGABM,https://img.youtube.com/vi/ChwmjdqGABM/maxresdefault.jpg,382.0675022373611,0.011299435028248588,0.02093870835167228,0.020338983050847456
tsX1KgSbTN4,2024-11-18 14:01:00,719869,10554,3104,reaction video,reaction,2024.0,https://www.youtube.com/watch?v=tsX1KgSbTN4,https://img.youtube.com/vi/tsX1KgSbTN4/maxresdefault.jpg,388.4060439040278,0.014661000820982706,7.99163671296262,0.018972896457549914
l2r7aEdVmTA,2025-12-02 18:03:14,152,7,2,reaction video,reaction,2025.0,https://www.youtube.com/watch?v=l2r7aEdVmTA,https://img.youtube.com/vi/l2r7aEdVmTA/maxresdefault.jpg,9.237826311435185,0.046052631578947366,0.2165011478430017,0.05921052631578947
oZGYU0CcfbY,2025-11-08 16:30:20,378245,24248,2543,reaction video,reaction,2025.0,https://www.youtube.com/watch?v=oZGYU0CcfbY,https://img.youtube.com/vi/oZGYU0CcfbY/maxresdefault.jpg,33.302340200324075,0.06410659757564542,76.36099999889056,0.07082975320228953
PIsMOyEiBfI,2025-11-04 20:00:20,156540,7199,2734,reaction video,reaction,2025.0,https://www.youtube.com/watch?v=PIsMOyEiBfI,https://img.youtube.com/vi/PIsMOyEiBfI/maxresdefault.jpg,37.15650686699074,0.04598824581576594,73.58065196459151,0.06345343043311613
