id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugxj95VCSgzJLjeA3lR4AaABAg,0,0,"2025-12-10 18:02:10",@АсеттулаИбейдуллаев-щ2з,"Чём больше ее рекламируют тем больше ненавидишь этот напиток. Чём больше ее рекламируют тем меньше я верю в пользе этого напитка. Не верю рекламе а верю врачам которые категорически просят ее не пить 😊",UC10M6gcww43ZSyH0BxhvfIA,http://www.youtube.com/@%D0%90%D1%81%D0%B5%D1%82%D1%82%D1%83%D0%BB%D0%B0%D0%98%D0%B1%D0%B5%D0%B9%D0%B4%D1%83%D0%BB%D0%BB%D0%B0%D0%B5%D0%B2-%D1%892%D0%B7,0,,
UgzPxQkbJpZj-LaDgUx4AaABAg,0,0,"2025-12-09 11:07:52",@VanusaAires-s9i,"Essa música deveria ganhar um prêmio, essa música é top pra esse comercial 👏👏👏",UC9y73vKGtmSllpA1Y4e-THA,http://www.youtube.com/@VanusaAires-s9i,0,,
UgxBnhzV4igiG2tHh1J4AaABAg,0,3,"2025-12-09 08:42:11",@CrepakWTF,"Моя любимая реклама Кока колы😢... Как же хорошо, что у нас в Казахстане снова начали крутить эту рекламу. Обожаю её❤",UC1MIlzD9Px5bV2V90TDOssA,http://www.youtube.com/@CrepakWTF,0,,
UgyqJV_3ONvCHyXUG1R4AaABAg,0,0,"2025-12-07 05:46:11",@beybladeburst4134,"imma play this at loop at Christmas coca cola w🎉",UC1advf0ff_y1UDGlrwpiSdQ,http://www.youtube.com/@beybladeburst4134,0,,
UgyRI7ntgdiPIVAUrRZ4AaABAg,0,0,"2025-12-06 22:51:01",@Athena-YTbr,"Uma propaganda que realmente da vontade de assistir ❤",UCNsdVMEJ1mfuEBuANNDmluw,http://www.youtube.com/@Athena-YTbr,0,,
UgwW-6Ye8wFymh4yXf14AaABAg,0,3,"2025-12-02 13:50:46",@lelelessf,"Since mid-November, this ad has been playing after every one ad.I'm not complaining😭✋🏻",UCOpJg7ZYKw3l2GzFxnYAixA,http://www.youtube.com/@lelelessf,0,,
UgxVE3HCH8CKaqHR5dp4AaABAg,0,0,"2025-11-30 08:15:16",@RealKingJAMESIV,"//JAMES Arthur McCoy IV 👍🏽🇺🇸🦅",UC9_MNwdplln3Yh298nLR2ew,http://www.youtube.com/@RealKingJAMESIV,0,,
UgwKohZuofJz-qV1QAZ4AaABAg,0,0,"2025-11-29 16:52:25",@Ради-Давидз7ц,"Това е в България",UCvOZsSfzv4Gay9CYYZ3KEmA,http://www.youtube.com/@%D0%A0%D0%B0%D0%B4%D0%B8-%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%B77%D1%86,0,,
UgyVnD8bDiQrcafyZAh4AaABAg,0,0,"2025-11-29 16:50:17",@Giorgi1433,"you know its christmas when you hear this in tv commercials break",UC4RL-wn01yEmX1WfVtlQ9kQ,http://www.youtube.com/@Giorgi1433,0,,
UgzNeI7As2OAN1mpRol4AaABAg,1,1,"2025-11-26 21:28:48",@FatimaZara-yk7ci,"I found this nice song about Santa Claus. Maybe you like it. https://youtu.be/zqrTT6qAuoc?si=5qCQHWMPvjqAFj5T",UCtEvCXUIfqvyYkjG0hWA_oQ,http://www.youtube.com/@FatimaZara-yk7ci,0,,
UgzNeI7As2OAN1mpRol4AaABAg.AQ-jJPjHA5-AQ2kQTkDzi6,,0,"2025-11-28 01:36:13",@agrosoilder,"No i am Atheist",UCpEO8o-_3gQy96-NA8kK8mw,http://www.youtube.com/@agrosoilder,1,UgzNeI7As2OAN1mpRol4AaABAg,@FatimaZara-yk7ci
UgzqHRhRBUk406-79Lx4AaABAg,0,1,"2025-11-25 13:37:09",@HAYITJON_456,"THANK YOU FOR PLACED THE ADVERTISEMENT ON TV",UCjn8sDlxktAPrb85C3qfBnw,http://www.youtube.com/@HAYITJON_456,0,,
Ugzf8uRzZnq0Dth-4694AaABAg,0,5,"2025-11-24 20:42:26",@michaeldcsf,"The best Coca-Cola commercial about Christmas ever; this year's was terrible.",UC2d-IznbT3AZFQ6hADXhGkw,http://www.youtube.com/@michaeldcsf,0,,
