video_id,Ad_Type,Video_url
non_ai_video_oOEB13WVbf4_2023,non ai-generated commercial,https://www.youtube.com/watch?v=oOEB13WVbf4
non_ai_video_At1z5CfEwgY_2025,non ai-generated commercial,https://www.youtube.com/watch?v=At1z5CfEwgY
ai_video_BtD4fHgkrqI_2024,ai-generated commercial,https://www.youtube.com/watch?v=BtD4fHgkrqI
ai_video_Yy6fByUmPuE_2025,ai-generated commercial,https://www.youtube.com/watch?v=Yy6fByUmPuE
reaction_video_6nB9VaDDDTw_2024,reaction video,https://www.youtube.com/watch?v=6nB9VaDDDTw
reaction_video_ChwmjdqGABM_2024,reaction video,https://www.youtube.com/watch?v=ChwmjdqGABM
reaction_video_tsX1KgSbTN4_2024,reaction video,https://www.youtube.com/watch?v=tsX1KgSbTN4\
reaction_video_l2r7aEdVmTA_2025,reaction video,https://www.youtube.com/watch?v=l2r7aEdVmTA
reaction_video_oZGYU0CcfbY_2025,reaction video,https://www.youtube.com/watch?v=oZGYU0CcfbY
reaction_video_PIsMOyEiBfI_2025,reaction video,https://www.youtube.com/watch?v=PIsMOyEiBfI
